Id,Label,timeset,tweets,retweets,rrt,modularity_class,indegree,outdegree,degree
0,Charlie_Hebdo_,,2,124,62,4,0,124,124
1,paul_denton,,5,118,23.6,1,3,110,113
2,Le_Figaro,,5,2207,441.4,6,1,2197,2198
3,LetoOfTheDesert,,19,0,0,0,16,0,16
4,aadaamaa20,,24,0,0,0,18,0,18
5,adelheidspira,,1,0,0,6,1,0,1
6,detectiveflocon,,1,0,0,0,1,0,1
7,RegisNusbaum,,2,0,0,4,2,0,2
8,ninjinette,,5,0,0,7,4,0,4
11,MarianneBrest,,1,0,0,1,1,0,1
13,Les_Gavroches,,1,0,0,6,1,0,1
14,BossLeon75,,17,0,0,7,15,0,15
15,CosplayZazu,,1,0,0,0,1,0,1
16,WillD08244081,,1,0,0,4,1,0,1
17,PierreMinnaert,,12,20,1.666667,4,2,19,21
18,Elsa_Dechezeaux,,2,0,0,1,1,0,1
20,Stephan70497072,,2,0,0,7,2,0,2
21,LauMi72,,1,0,0,4,1,0,1
22,coknou,,1,0,0,6,1,0,1
23,Josephi75654353,,3,0,0,7,3,0,3
24,gabrieltoma,,1,0,0,7,1,0,1
25,trinouchilou,,2,0,0,7,2,0,2
26,geekarty,,12,0,0,4,9,0,9
27,carpediemsb8,,1,0,0,6,1,0,1
29,MatthieuGariel,,3,5,1.666667,4,1,5,6
30,blabalade,,11,0,0,6,11,0,11
32,AiEquipe,,9,0,0,7,9,0,9
35,DAISback,,2,0,0,1,2,0,2
36,la_scourge,,4,0,0,0,4,0,4
37,nopvarker,,1,0,0,0,1,0,1
38,KairiCraizy,,1,0,0,0,1,0,1
39,AF_Bernhard,,1,0,0,5,1,0,1
41,Soleil_rieur,,14,4,0.285714,7,9,4,13
42,FlatKos,,8,1,0.125,0,5,1,6
45,LoganLutin,,3,0,0,0,3,0,3
46,simon2021_,,4,23,5.75,0,3,23,26
48,Philanthrope_dt,,3,0,0,0,3,0,3
49,aHiGmP5,,1,0,0,0,1,0,1
50,MJeaubelaux,,14,0,0,7,10,0,10
51,bn_at,,1,0,0,1,1,0,1
52,9w1n3t,,1,0,0,1,1,0,1
53,BrenierLaura,,40,4,0.1,4,29,4,33
54,gadollev,,1,0,0,7,1,0,1
55,Michel666Michel,,2,0,0,3,2,0,2
56,LouisCapet13,,8,0,0,7,6,0,6
57,LebretonCamill5,,18,1,0.055556,4,7,1,8
59,MichAvice,,2,0,0,1,1,0,1
60,j_varin,,2,0,0,7,2,0,2
61,nicolas_smirnov,,8,0,0,7,8,0,8
62,infinivertige,,12,0,0,7,12,0,12
63,matarankaspring,,46,0,0,4,38,0,38
65,CidoSumirati,,1,0,0,0,1,0,1
66,Scarlett130793,,2,0,0,7,2,0,2
67,vercors07,,1,0,0,4,1,0,1
68,jerome_riviere,,1,61,61,7,0,61,61
69,mthistoria,,4,4,1,4,3,4,7
70,Dp2labarollier1,,6,0,0,7,1,0,1
71,Antonio99388557,,2,0,0,1,2,0,2
72,CaillouViolet,,2,0,0,0,2,0,2
73,yvesdamecourt,,2,0,0,4,2,0,2
74,CreusetI,,1,0,0,7,1,0,1
75,Dianou34,,24,0,0,4,22,0,22
77,AOflovers,,7,0,0,0,5,0,5
78,DuvehatJp,,16,0,0,5,14,0,14
79,Pilotte_daniel,,22,18,0.818182,7,9,7,16
80,PolluxeBlog,,25,0,0,4,20,0,20
81,nieder_klaus,,2,0,0,5,2,0,2
82,karineChevalier,,2,0,0,4,2,0,2
83,y00ps,,2,0,0,0,2,0,2
85,MichelD24479421,,2,0,0,0,2,0,2
86,HeloPalette,,1,2,2,4,0,2,2
88,Bwaaarf,,1,0,0,0,1,0,1
89,MW1222,,2,0,0,4,2,0,2
90,lions_david,,3,0,0,4,3,0,3
