"Source","Target"
8858,4
2,5
41,6
0,7
1,10
2,12
0,13
1095,14
0,15
0,16
61,18
27,19
2,20
436,21
12073,22
2,23
0,24
2,25
3687,28
4521,28
61,29
2,28
1,30
18904,31
41,32
41,33
11201,34
61,36
18904,40
1095,43
41,44
61,45
1,46
1,47
62,48
61,49
1095,50
61,51
9484,52
9484,52
1,53
61,54
61,55
61,56
61,57
0,29
1095,58
436,59
62,60
72,63
1,64
41,65
0,66
436,67
79,68
0,71
72,72
0,73
436,74
0,75
1095,76
1095,78
7938,48
18904,80
0,81
2,82
6484,83
0,84
0,85
41,86
18251,87
436,89
12073,90
2,91
2,93
2,94
2,95
2,96
2,97
3151,98
436,99
6559,100
12301,101
2,102
505,103
2,104
436,105
4395,106
436,107
5356,108
2,109
6638,110
135,111
9669,112
255,113
2,114
436,115
2978,116
2,118
3244,119
2,120
2,121
3151,122
133,123
5374,124
135,125
2,127
2,128
3151,129
4395,130
505,132
2,134
17066,136
3244,137
3225,138
2,138
3151,139
21778,140
1634,141
2,142
582,143
125,144
2,145
8354,146
2,147
4433,148
5374,149
4017,151
4794,153
1510,154
5374,155
255,156
4017,157
2,158
255,159
255,160
2,161
4017,162
2,163
255,164
2,165
2,166
0,167
4017,168
856,169
3244,133
2,171
911,172
2,173
4359,174
911,175
178,176
12301,177
2,180
889,181
255,182
2,183
4330,184
255,185
12301,187
1707,188
889,189
4395,191
17066,192
1118,194
436,195
2,196
2,197
2,198
4542,199
2,200
255,202
2,203
911,204
2,205
3244,206
255,207
3708,208
6748,4
2,209
889,210
2,211
2,212
255,213
3151,214
3151,215
2,216
4395,217
6150,218
255,219
2,220
2,221
889,224
403,226
2,227
911,217
5079,228
255,229
3687,230
2,232
2,233
2,234
3151,235
2,236
176,237
255,238
3244,239
5374,240
255,241
2,242
3244,228
255,243
255,244
2,245
255,246
255,247
3151,248
255,249
711,250
255,251
2,225
255,253
255,178
9669,254
4542,256
3151,257
2,258
5836,259
5634,260
2,261
3151,263
2,264
3244,265
492,266
505,267
505,268
889,269
2,270
3151,271
2,272
2,274
911,275
911,276
5356,277
2,278
2,279
2,281
2,282
2,284
5374,285
2,286
505,288
2,289
517,288
2,290
2,291
6150,292
2,293
889,294
2,295
2,296
3151,297
11842,298
7428,300
955,301
4359,302
5634,304
2,305
4395,308
5374,309
2,310
2,312
3151,313
2,314
403,315
3151,317
5374,318
2,319
2,320
1661,321
505,322
2,323
1661,324
2,325
505,327
4895,328
6647,329
2,330
2,331
2,332
2,333
14103,334
436,336
1494,337
1815,338
4359,339
2,340
955,341
6647,342
2,343
2,345
6647,346
2,347
2,348
2,350
5175,352
6647,353
3151,355
436,357
2,358
2,359
2,360
5175,361
2,362
2,363
4542,364
436,365
2,366
6647,368
2,371
6647,372
2,373
2,374
505,375
436,377
4359,378
1494,379
2,380
5175,155
505,382
505,382
3151,383
3151,384
17811,385
2,386
17811,385
436,387
2,387
2,389
5374,390
2,393
436,394
403,396
5374,398
2,399
439,335
3151,400
2,401
2,402
2,405
18756,406
2570,407
2,408
14898,409
2,412
436,413
2,414
436,415
2,416
3151,417
2,418
436,419
5634,420
889,421
2,422
22452,423
4359,424
2,425
3275,426
2,427
2,428
17811,429
17811,429
6647,430
8628,432
3151,433
3708,434
951,435
2,437
951,438
1372,440
5634,441
3151,443
2,444
3151,445
1443,446
911,57
3151,448
2,450
1494,57
2,452
2,454
4542,455
955,456
3275,457
2,458
6559,459
2,460
492,73
505,462
505,464
3151,465
5356,466
5095,467
2,468
1494,469
1707,470
2,471
2,474
2,475
2,476
2,477
2,478
5374,479
3151,480
505,481
3244,483
2,484
2,485
911,487
2,488
911,489
2,490
4542,491
2,493
5374,495
4395,172
2,496
2,497
3275,498
2,499
2,501
2,502
2,503
2,504
2,506
2,508
6647,509
2,510
2,511
3708,512
2,513
505,514
2,515
6647,516
5356,519
505,520
6223,521
2,522
3708,523
2,525
2599,526
3151,528
2,529
5374,530
2,531
2,533
11201,534
505,535
6150,536
6150,536
6150,536
6150,536
2,538
505,539
2,540
3708,541
9669,542
2,544
505,545
2,548
2,549
505,551
3708,552
2,553
3708,554
2,555
2,556
2,557
2,558
5356,559
911,560
3708,561
5374,562
2,563
4359,564
18570,565
2,566
2,567
3708,568
6150,569
2,570
5356,572
1661,573
517,574
2,575
2563,577
2,578
2,579
3708,580
3244,581
4895,563
3244,582
2,583
3708,584
3708,585
2,586
911,587
3708,1
911,588
517,590
6638,591
2,593
2,594
8647,595
3151,596
2,597
2,598
2,599
2,600
2,601
2,602
2,603
2,604
3275,605
2,606
9669,607
517,608
517,609
2,610
3151,572
3708,611
612,612
2,613
3244,614
1372,615
4330,616
1661,617
632,618
5374,619
2,622
2,623
911,624
3687,625
3244,626
3151,628
2,629
2,630
911,633
8348,634
3151,636
2,638
4395,538
3244,605
2,640
3151,641
9669,642
2,643
1661,643
2,644
911,645
3244,646
4017,647
911,648
3244,164
3244,649
8647,650
2,651
3244,609
4359,652
6647,653
2,654
3225,655
2,656
2,657
2,658
2,659
6647,660
1634,661
6559,662
2,655
4359,663
5374,666
3244,667
1661,217
6647,668
2,669
3244,670
3151,672
911,673
1661,674
5634,675
3244,678
3244,679
2,680
2,681
2,682
4395,683
2,684
3244,685
2,686
3244,687
5282,688
3244,689
3244,690
2,691
2453,692
3244,693
6484,694
911,695
2914,696
2,699
2,700
911,701
6638,702
2,704
4017,706
4395,707
2,708
3708,709
911,710
5374,286
4794,675
2,712
969,714
5374,675
5374,217
2,715
6647,716
3244,717
11201,718
4017,719
2,721
4395,722
2,723
5356,724
5374,725
911,726
2,727
911,728
2,730
2,732
2,733
3244,734
3151,735
1634,736
4395,737
2,738
5374,740
2,741
2,743
911,744
3244,746
3151,747
2,748
1612,749
3151,750
911,751
2,752
785,753
2,754
4359,755
3151,756
3244,758
3151,759
2,760
2,761
911,762
911,763
911,764
3151,765
911,766
911,767
4895,768
2,769
1786,770
2,771
2,772
4395,773
2,775
3244,776
2,777
9669,778
2,779
3244,780
4794,781
1661,782
2,783
785,784
889,146
5356,786
2,787
2,788
4359,789
2,790
2,791
2,792
9669,793
2,794
4395,795
4540,796
5376,797
2,798
2,799
2,800
5356,801
2,802
1661,803
2,804
889,805
2,806
2,807
4359,809
2,810
2,811
12301,812
3244,813
3708,814
2,815
5102,816
1661,817
2,818
2,664
2,820
5374,821
2,822
4359,823
5374,824
825,825
3151,826
2,827
2,828
3151,829
2,830
2,831
6559,832
2,833
2,834
2,836
2,837
2,838
3151,839
9669,842
825,843
825,843
2,844
4359,845
4359,846
3151,847
6647,848
2,849
2,850
3151,851
1661,850
2,852
4521,853
4359,128
2,854
2762,855
2,857
4542,858
5356,859
6647,860
17839,861
2,862
2,863
2,864
3151,865
6559,866
889,868
2,869
2,871
3151,247
4017,245
889,872
2,870
2,873
2,874
5634,875
3151,877
6150,878
2,879
5356,880
911,881
2,882
4542,883
2,191
326,884
1697,885
2,886
3151,888
4359,802
889,889
4017,890
10912,891
955,892
889,893
5282,894
4245,895
6223,896
18365,897
2,898
2,900
18365,901
1661,902
3151,903
2,904
4521,905
2,906
1661,907
4395,908
955,909
3151,910
2,469
1118,912
955,913
2,914
2,915
2,916
1494,917
2,918
2,919
2,920
1443,921
6647,922
955,923
18365,924
1376,925
2,926
4395,927
9669,928
6647,929
969,930
2,931
4359,932
2,933
889,934
2,935
2,937
6647,940
2,941
2,942
4521,943
1661,944
2,945
2,946
2,947
2,948
2,949
2,950
2,952
3151,954
3151,956
2,932
3151,957
1661,958
4895,959
1661,960
5438,961
889,962
5438,963
6647,964
2,965
1095,966
5438,967
2,968
6325,970
2,943
2,972
6638,973
2,974
2,975
2,976
2,977
1661,978
2,980
3244,249
2,982
2,983
1151,986
2,987
2,988
9669,990
11201,991
2,992
2,993
2,994
4359,995
2,996
4395,997
2,998
2,999
2184,1000
5356,971
2,1002
2,1003
4359,1004
2,1005
3151,1006
1118,1007
1815,1009
2,1010
9669,1011
2,1012
2,1013
2,1014
5374,1015
4542,655
2,1016
4542,1017
4359,1018
3244,1020
2,1021
5282,1022
2,1023
9669,1025
2,1027
2,1028
2,1029
2,1030
8007,1031
326,1032
2,1033
5374,1034
1118,1035
3151,1036
6150,1037
2,1038
6150,1040
4395,1041
2,1042
6150,1040
2,260
6647,1043
6150,1040
2,823
2,1045
2,1046
5374,1047
6647,1048
2,1050
2,1051
2,1053
1617,1054
2,1055
1443,1056
2,1057
1058,1058
2,1059
9669,1060
2,1061
4359,1062
4395,1063
2,1064
5374,1051
2,1065
5102,1067
1118,1068
8007,1069
2599,1070
2,1071
2,1072
2,1073
2,1074
2,1075
9932,1076
4395,1077
2,1078
6559,1079
9669,1081
2,1082
2,1083
6150,880
2,1084
4991,1085
1118,582
3151,1086
1661,1087
3151,1088
2,1089
3151,1090
3151,1091
5634,1092
2,1093
6647,1094
9669,1095
2,1096
9820,1097
6150,1098
6647,1101
2,1102
6647,1103
1634,1104
2,1105
4359,1106
2,1107
2,1108
6647,1109
2,1110
2,1111
2,1112
1661,1113
2,1114
2,1115
5374,1116
2,1117
1443,1119
2,1120
2,1122
6647,1125
2,1126
2,1127
1661,1128
2,1129
6647,1097
1151,1130
2,1131
1135,1132
2,1134
2,1136
16787,429
4633,206
1095,1139
2,1140
2,1141
2,1142
6647,1143
2,1145
5374,1146
2,275
3708,1147
2,1149
2,1150
2,1154
1494,1155
2,1156
2,1158
2,1159
5102,1160
2,1161
2,1162
2,1163
5376,1164
492,1165
4359,321
1661,1166
6647,1144
2,1167
5227,1168
2,1169
2,1171
6647,1172
2,1173
2,1175
2,1176
5376,1177
3151,1179
3687,1180
3225,1180
2190,1180
2,1181
4521,1180
6638,1182
1661,1183
2,1180
2,1184
2,72
1661,1185
2,1186
2,1187
2,1188
4895,1189
6233,1191
4359,1184
1372,1192
8528,1193
6647,1194
2,1195
1376,1197
2,1198
1617,1199
2,1200
2,1201
2,1203
2,1204
1494,1205
3151,1206
3151,1207
582,1208
4759,1209
2,1210
2,1211
3151,1212
1617,1213
2,1214
2,1215
3244,1216
1494,1217
6647,1218
4895,1193
2,1219
2,1220
7938,1221
2,1224
2,1225
2,1227
9669,1228
3244,1229
889,1230
2,1231
6647,1232
2,1233
2,1234
5356,1236
1494,1237
3151,1238
1376,1239
2,1240
2914,1241
6325,1244
2,1245
2,1246
3151,1247
6647,1248
2,1249
1494,1250
819,1251
2,1252
6150,894
819,1253
5356,1255
3151,1256
2,1257
3244,1258
2,1259
2,1260
5175,1261
1661,1262
3708,1263
582,1264
125,1265
1661,1266
2,1267
2,1268
4359,1269
4359,1270
5356,1271
2,1272
125,1273
1494,1274
2,1275
2,1276
2,1277
4895,455
4596,1278
2,1279
2,1280
6647,1281
2,1165
4542,1282
2,1283
2677,1284
2,1285
5175,1286
3708,1287
2,1288
6484,1289
1376,1290
2,1291
1494,1292
2,1293
2,1294
3151,1295
2,1296
6647,1297
2,1298
4895,1299
2,1300
2128,1301
3708,1302
2,455
3151,1303
4542,1282
4542,1282
2,1304
2,1305
1494,1307
2,1309
2,1310
4542,1282
9669,1311
10326,1312
4359,1313
819,1314
3151,1316
889,1317
2,1318
4395,1319
2,1320
1494,1322
2,1323
6647,1324
2,1325
3792,1326
2,1327
1661,1328
2,1329
3792,1331
1494,2
6748,1332
3834,1333
2,1334
5374,1335
2,1336
3151,1337
1815,1338
2,1339
2,1340
4895,1341
2,1343
