"Label","Id","tweets","retweets","rRT"
"Charlie_Hebdo_",0,2,124,62
"paul_denton",1,5,118,23.6
"Le_Figaro",2,5,2207,441.4
"LetoOfTheDesert",3,19,0,0
"aadaamaa20",4,24,0,0
"adelheidspira",5,1,0,0
"detectiveflocon",6,1,0,0
"RegisNusbaum",7,2,0,0
"ninjinette",8,5,0,0
"gauvain_georges",9,3,0,0
"MarianneBrest",11,1,0,0
"ElCiudaArg",12,1,0,0
"Les_Gavroches",13,1,0,0
"BossLeon75",14,17,0,0
"CosplayZazu",15,1,0,0
"WillD08244081",16,1,0,0
"PierreMinnaert",17,12,20,1.66666666666667
"Elsa_Dechezeaux",18,2,0,0
"Stephan70497072",20,2,0,0
"LauMi72",21,1,0,0
"coknou",22,1,0,0
"Josephi75654353",23,3,0,0
"gabrieltoma",24,1,0,0
"trinouchilou",25,2,0,0
"geekarty",26,12,0,0
"carpediemsb8",27,1,0,0
"In_nocence",28,2,0,0
"MatthieuGariel",29,3,5,1.66666666666667
"blabalade",30,11,0,0
"AiEquipe",32,9,0,0
"DAISback",35,2,0,0
"la_scourge",36,4,0,0
"nopvarker",37,1,0,0
"KairiCraizy",38,1,0,0
"AF_Bernhard",39,1,0,0
"volcackerman",40,1,0,0
"Soleil_rieur",41,14,4,0.285714285714286
"FlatKos",42,8,1,0.125
"MelinaSln",43,1,0,0
"LovelyCarappuce",44,3,0,0
"LoganLutin",45,3,0,0
"simon2021_",46,4,23,5.75
"rapsodyEuphoria",47,2,1,0.5
"Philanthrope_dt",48,3,0,0
"aHiGmP5",49,1,0,0
"MJeaubelaux",50,14,0,0
"bn_at",51,1,0,0
"9w1n3t",52,1,0,0
"BrenierLaura",53,40,4,0.1
"gadollev",54,1,0,0
"Michel666Michel",55,2,0,0
"LouisCapet13",56,8,0,0
"LebretonCamill5",57,18,1,0.0555555555555556
"MichAvice",59,2,0,0
"j_varin",60,2,0,0
"nicolas_smirnov",61,8,0,0
"infinivertige",62,12,0,0
"matarankaspring",63,46,0,0
"CidoSumirati",65,1,0,0
"Scarlett130793",66,2,0,0
"vercors07",67,1,0,0
"jerome_riviere",68,1,61,61
"mthistoria",69,4,4,1
"Dp2labarollier1",70,6,0,0
"Antonio99388557",71,2,0,0
"CaillouViolet",72,2,0,0
"yvesdamecourt",73,2,0,0
"CreusetI",74,1,0,0
"Dianou34",75,24,0,0
"Ri09306826",76,1,0,0
"AOflovers",77,7,0,0
"DuvehatJp",78,16,0,0
"Pilotte_daniel",79,22,18,0.818181818181818
"PolluxeBlog",80,25,0,0
"nieder_klaus",81,2,0,0
"karineChevalier",82,2,0,0
"y00ps",83,2,0,0
"RLES33000",84,1,0,0
"MichelD24479421",85,2,0,0
"HeloPalette",86,1,2,2
"Bwaaarf",88,1,0,0
"MW1222",89,2,0,0
"lions_david",90,3,0,0
"La_Malice6",91,2,0,0
"NGourd",92,1,0,0
"Tarenos",93,1,0,0
"Solene_me",94,1,0,0
"gaby_wald",95,11,0,0
"ParToutatissss",96,1,0,0
"PatriciaPatou4",97,1,0,0
"SgtBibisse",99,5,0,0
"michelgraziani",100,4,0,0
"chan_sardine",101,5,0,0
"DThetraining75",102,1,0,0
"youmageoge1",103,5,1,0.2
"nightcallin",104,1,0,0
"sommelier50",105,12,0,0
"JoyeuxLothaire",106,2,0,0
"hugowood_off",107,1,0,0
"bistrot_alonso",108,2,0,0
"juchab_",109,1,0,0
"Nachdemregen",110,1,0,0
"fabricius78",111,1,0,0
"Cassio_Sorciere",112,3,0,0
"AlonzoHarrissa",113,1,0,0
"Egypta7",114,2,0,0
"EscandellSelos",115,1,0,0
"maillebi",116,3,0,0
"MaddieChou",117,1,0,0
"JeanDissident_",118,1,0,0
"Altoviola_",119,16,0,0
"entreplume",120,3,0,0
"ninyhime",121,1,0,0
"68Rliyne",122,1,0,0
"J_JChatelier",123,3,0,0
"LolitaLeRetour",124,1,0,0
"jgjvvj7667",125,35,0,0
"mg12gm",126,2,0,0
"jdl288",127,3,0,0
"AchMenace",128,4,0,0
"Hzero33",129,6,0,0
"darabu_ndjoku",130,1,0,0
"FrancineBardet",131,2,0,0
"emoceliya",132,8,0,0
"yannick_helbert",133,1,0,0
"decharlisons",134,26,18,0.692307692307692
"schumannemmanu1",135,8,0,0
"sharkx67",137,1,0,0
"philippemaniere",138,5,0,0
"Silvio_Gesell_",139,1,0,0
"EricBozonnet1",140,1,0,0
"resusdu71",141,3,0,0
"EnricoFuransugo",142,1,0,0
"Cyrill_Pappus",143,3,1,0.333333333333333
"JMarfeuil",144,1,0,0
"cchristelle__",145,2,2,1
"MiaWD92",146,3,0,0
"Dr_Ezrine",147,5,0,0
"DominoNeige",148,2,0,0
"ptinyx",150,2,0,0
"pardailhan",151,4,0,0
"Piebleu",152,17,0,0
"SayyidaAl",153,1,0,0
"Midori_marmotte",154,2,0,0
"GuinardOceane",155,31,0,0
"Ryo_Saeba_fr",156,1,0,0
"ZglavMoerman",157,13,3,0.230769230769231
"alkz30",158,1,0,0
"Praline_addict",159,3,0,0
"Chametegal",160,2,0,0
"JeanRichardMol1",161,1,0,0
"Loiseau007",162,2,0,0
"Makhnadona",163,1,0,0
"CaroTV04",164,10,0,0
"Robert1Z",165,1,0,0
