"Label","date","Id","modularity_class","outdegree"
"20Minutes",2022-08-17 11:44:01,13443,"Centre",1
"Laurier_the_Fox",2022-08-17 15:57:22,1173,"Militant·e·s féministes et LGBTQIA+",1078
"Irishtarya",2022-08-17 15:57:50,9992,"Militant·e·s féministes et LGBTQIA+",0
"Lesboratory",2022-08-17 15:58:16,12833,"Militant·e·s féministes et LGBTQIA+",0
"Pandanas666",2022-08-17 16:03:10,9317,"Militant·e·s féministes et LGBTQIA+",0
"ReconnaiTrans",2022-08-17 16:07:34,18270,"Militant·e·s féministes et LGBTQIA+",0
"Leila__craft",2022-08-17 16:11:00,5491,"Militant·e·s féministes et LGBTQIA+",0
"JadeWhirl",2022-08-17 16:11:35,14939,"Militant·e·s féministes et LGBTQIA+",0
"julie_2_0",2022-08-17 16:12:30,8382,"Militant·e·s féministes et LGBTQIA+",0
"SpiderNoam",2022-08-17 16:13:51,50255,"Militant·e·s féministes et LGBTQIA+",0
"Pandanymous",2022-08-17 16:14:17,20436,"Militant·e·s féministes et LGBTQIA+",0
"lullysct",2022-08-17 16:15:02,2805,"Militant·e·s féministes et LGBTQIA+",0
"FrenchTransGal",2022-08-17 16:15:12,545,"Militant·e·s féministes et LGBTQIA+",0
"Asbelspring",2022-08-17 16:15:43,13267,"Militant·e·s féministes et LGBTQIA+",0
"moumoumum",2022-08-17 16:15:43,50251,"Militant·e·s féministes et LGBTQIA+",0
"Estelle39003272",2022-08-17 16:17:06,50249,"Militant·e·s féministes et LGBTQIA+",0
"IInfiltree",2022-08-17 16:17:18,23892,"Militant·e·s féministes et LGBTQIA+",0
"VPatigniez",2022-08-17 16:18:23,8830,"Centre",0
"Helautistic",2022-08-17 16:21:04,4867,"Militant·e·s féministes et LGBTQIA+",1
"Broderies2_0",2022-08-17 16:21:31,19647,"Militant·e·s féministes et LGBTQIA+",0
"hparadoxa",2022-08-17 16:23:25,12158,"Militant·e·s féministes et LGBTQIA+",2
"KallyGeekette",2022-08-17 16:23:38,19503,"Militant·e·s féministes et LGBTQIA+",0
"shiny_queer",2022-08-17 16:24:36,11448,"Militant·e·s féministes et LGBTQIA+",0
"FrancoisBillyM",2022-08-17 16:24:58,14237,"Militant·e·s féministes et LGBTQIA+",0
"AnotherBlueMoon",2022-08-17 16:26:09,50241,"Militant·e·s féministes et LGBTQIA+",0
"lodoniri",2022-08-17 16:27:46,4474,"Militant·e·s féministes et LGBTQIA+",0
"joelle_g9",2022-08-17 16:29:43,5683,"Militant·e·s féministes et LGBTQIA+",0
"Bex_Oscar",2022-08-17 16:30:13,6648,"Militant·e·s féministes et LGBTQIA+",0
"oceane_granier",2022-08-17 16:33:47,50237,"Militant·e·s féministes et LGBTQIA+",0
"GenderTrouble69",2022-08-17 16:33:50,976,"Militant·e·s féministes et LGBTQIA+",0
"roxantitout",2022-08-17 16:35:04,1418,"Militant·e·s féministes et LGBTQIA+",0
"lumsot",2022-08-17 16:37:09,1735,"Militant·e·s féministes et LGBTQIA+",0
"transeignante",2022-08-17 16:44:26,24144,"Militant·e·s féministes et LGBTQIA+",197
"DieuPinpin",2022-08-17 16:45:04,14462,"Militant·e·s féministes et LGBTQIA+",0
"_rebelrebel",2022-08-17 16:46:23,21954,"Militant·e·s féministes et LGBTQIA+",0
"VoyelSenMele",2022-08-17 16:50:36,9503,"Militant·e·s féministes et LGBTQIA+",0
"artistivore",2022-08-17 16:52:32,8766,"Militant·e·s féministes et LGBTQIA+",0
"winter_brownie",2022-08-17 16:53:35,6497,"Militant·e·s féministes et LGBTQIA+",0
"Raphaellakay",2022-08-17 16:54:45,50227,"Militant·e·s féministes et LGBTQIA+",0
"Diinna_999",2022-08-17 16:55:00,7660,"Militant·e·s féministes et LGBTQIA+",0
"CrispEmilia",2022-08-17 16:55:58,50225,"Militant·e·s féministes et LGBTQIA+",0
"sahshasalsa",2022-08-17 16:57:50,50224,"Militant·e·s féministes et LGBTQIA+",0
"HRamyeon",2022-08-17 16:58:47,50223,"Militant·e·s féministes et LGBTQIA+",0
"AlixBribri",2022-08-17 16:59:12,50222,"Militant·e·s féministes et LGBTQIA+",0
"Nildeala",2022-08-17 17:04:20,13951,"Militant·e·s féministes et LGBTQIA+",0
"Fernandezcomics",2022-08-17 17:04:25,30087,"Personnalités et groupes de gauche",0
"AnnaBrd5",2022-08-17 17:06:11,1894,"Militant·e·s féministes et LGBTQIA+",35
"MWonderBatman",2022-08-17 17:06:17,33902,"Militant·e·s féministes et LGBTQIA+",0
"yetAnotherCis",2022-08-17 17:08:06,5266,"Militant·e·s féministes et LGBTQIA+",0
"Claptrapcefdp",2022-08-17 17:11:04,18215,"Militant·e·s féministes et LGBTQIA+",0
"I_ainttellin",2022-08-17 17:11:44,13253,"Militant·e·s féministes et LGBTQIA+",10
"pipoute_",2022-08-17 17:16:24,50214,"Militant·e·s féministes et LGBTQIA+",0
"zylosophe",2022-08-17 17:16:55,50213,"Militant·e·s féministes et LGBTQIA+",0
"Ayden_444",2022-08-17 17:16:59,14627,"Militant·e·s féministes et LGBTQIA+",0
"Mariie_362",2022-08-17 17:18:43,22816,"Militant·e·s féministes et LGBTQIA+",0
"FlettTarti",2022-08-17 17:18:55,5328,"Militant·e·s féministes et LGBTQIA+",19
"RazielRad",2022-08-17 17:19:40,13571,"Militant·e·s féministes et LGBTQIA+",0
"_oscar_grv",2022-08-17 17:19:46,50208,"Militant·e·s féministes et LGBTQIA+",0
"nonocplussimple",2022-08-17 17:20:19,19572,"Militant·e·s féministes et LGBTQIA+",0
"Erylismaker",2022-08-17 17:22:41,36651,"Militant·e·s féministes et LGBTQIA+",0
"TheLardon",2022-08-17 17:24:28,50205,"Militant·e·s féministes et LGBTQIA+",0
"AnnaStevensonFR",2022-08-17 17:25:19,50204,"Militant·e·s féministes et LGBTQIA+",0
"aaers_org",2022-08-17 17:25:32,18314,"Militant·e·s féministes et LGBTQIA+",0
"Juliadwushaz",2022-08-17 17:26:35,16581,"Militant·e·s féministes et LGBTQIA+",0
"maikoki",2022-08-17 17:30:22,170,"Militant·e·s féministes et LGBTQIA+",0
"iarwainPi",2022-08-17 17:31:26,50200,"Militant·e·s féministes et LGBTQIA+",0
"Jesuisn2",2022-08-17 17:32:14,45968,"Militant·e·s féministes et LGBTQIA+",0
"ichigoscott",2022-08-17 17:39:58,11015,"Militant·e·s féministes et LGBTQIA+",0
"orangemecanike",2022-08-17 17:40:22,41634,"Militant·e·s féministes et LGBTQIA+",3
"weny_j",2022-08-17 17:40:26,50197,"Militant·e·s féministes et LGBTQIA+",0
"moutaineBZH",2022-08-17 17:41:19,15974,"Militant·e·s féministes et LGBTQIA+",0
"jjuulliiee8",2022-08-17 17:43:12,17377,"Militant·e·s féministes et LGBTQIA+",0
"sorain2",2022-08-17 17:44:49,41633,"Conspirationnistes identitaires",0
"Ieletaitunefois",2022-08-17 17:46:08,18251,"Militant·e·s féministes et LGBTQIA+",0
"MartyMc15487736",2022-08-17 17:46:34,50193,"Militant·e·s féministes et LGBTQIA+",0
"BibiLaDiva1",2022-08-17 17:46:52,1918,"Militant·e·s féministes et LGBTQIA+",0
"DeatsyBlue",2022-08-17 17:47:39,16262,"Militant·e·s féministes et LGBTQIA+",0
"eramoony",2022-08-17 17:47:51,50190,"Militant·e·s féministes et LGBTQIA+",0
"Some_Writer_Cat",2022-08-17 17:48:35,5528,"Militant·e·s féministes et LGBTQIA+",0
"stc019",2022-08-17 17:52:23,50188,"Militant·e·s féministes et LGBTQIA+",0
"Ocean_Disaster",2022-08-17 17:52:40,47040,"Militant·e·s féministes et LGBTQIA+",0
"jumpysnnake",2022-08-17 17:53:31,39361,"Militant·e·s féministes et LGBTQIA+",0
"vive_patates",2022-08-17 17:55:10,4531,"Militant·e·s féministes et LGBTQIA+",0
"Helypheria",2022-08-17 17:56:40,50184,"Militant·e·s féministes et LGBTQIA+",0
"Buckys_plum_",2022-08-17 17:58:43,1288,"Militant·e·s féministes et LGBTQIA+",0
"Leitha_GND",2022-08-17 17:59:43,39645,"Militant·e·s féministes et LGBTQIA+",4
"VickySaintAnge",2022-08-17 18:00:10,7173,"Militant·e·s féministes et LGBTQIA+",0
"max_att4k",2022-08-17 18:00:16,50180,"Militant·e·s féministes et LGBTQIA+",0
"animrac2517",2022-08-17 18:00:45,50179,"Militant·e·s féministes et LGBTQIA+",0
"Coradude",2022-08-17 18:02:12,50178,"Militant·e·s féministes et LGBTQIA+",0
"chou_fabuleux",2022-08-17 18:02:20,13393,"Militant·e·s féministes et LGBTQIA+",0
"PeryleneBleu",2022-08-17 18:02:23,32294,"Militant·e·s féministes et LGBTQIA+",0
"TheFlashGL",2022-08-17 18:02:30,17831,"Militant·e·s féministes et LGBTQIA+",0
"simenalaienn",2022-08-17 18:02:37,12396,"Militant·e·s féministes et LGBTQIA+",0
"MekaFri",2022-08-17 18:05:56,17689,"Militant·e·s féministes et LGBTQIA+",0
"SilverSober",2022-08-17 18:06:17,13541,"Militant·e·s féministes et LGBTQIA+",0
"_Gampr",2022-08-17 18:07:06,6286,"Militant·e·s féministes et LGBTQIA+",0
"ethan_oolbackup",2022-08-17 18:08:55,21293,"Militant·e·s féministes et LGBTQIA+",0
"PafelicShow",2022-08-17 18:09:34,2737,"Militant·e·s féministes et LGBTQIA+",0
"clare_furious",2022-08-17 18:11:54,734,"Militant·e·s féministes et LGBTQIA+",0
"Poivron2",2022-08-17 18:15:48,8537,"Extrême-droite",3
"gayygod",2022-08-17 18:16:29,50167,"Militant·e·s féministes et LGBTQIA+",0
"MadmoiselleFifi",2022-08-17 18:16:43,3198,"Militant·e·s féministes et LGBTQIA+",0
"Spoonie_Ville",2022-08-17 18:17:39,23691,"Militant·e·s féministes et LGBTQIA+",0
"Lysouillepaupie",2022-08-17 18:19:59,6994,"Militant·e·s féministes et LGBTQIA+",0
"Soph_Sight",2022-08-17 18:25:54,50163,"Militant·e·s féministes et LGBTQIA+",0
"FlorianJudith",2022-08-17 18:27:01,2486,"Militant·e·s féministes et LGBTQIA+",0
"413Error",2022-08-17 18:29:54,50162,"Militant·e·s féministes et LGBTQIA+",0
"scruffy_XX",2022-08-17 18:31:43,50161,"Militant·e·s féministes et LGBTQIA+",0
"HermitCyclop",2022-08-17 18:33:48,50160,"Militant·e·s féministes et LGBTQIA+",0
"Loulou_727",2022-08-17 18:34:01,50159,"Militant·e·s féministes et LGBTQIA+",0
"Sfx_Alien",2022-08-17 18:35:02,10623,"Militant·e·s féministes et LGBTQIA+",0
"pourquoipablo",2022-08-17 18:38:01,5962,"Militant·e·s féministes et LGBTQIA+",0
"SocialNyx",2022-08-17 18:38:32,2132,"Militant·e·s féministes et LGBTQIA+",0
"lmbd_rose",2022-08-17 18:38:39,22015,"Militant·e·s féministes et LGBTQIA+",0
"emobatboy_",2022-08-17 18:38:56,1822,"Militant·e·s féministes et LGBTQIA+",0
"cotesdesneiges",2022-08-17 18:39:03,19139,"Militant·e·s féministes et LGBTQIA+",0
"PhantomL95",2022-08-17 18:39:07,8690,"Militant·e·s féministes et LGBTQIA+",0
"bezuelsa",2022-08-17 18:39:19,50151,"Militant·e·s féministes et LGBTQIA+",0
"Bphegorswiss",2022-08-17 18:39:50,1898,"Militant·e·s féministes et LGBTQIA+",0
"Will_MacLink",2022-08-17 18:43:21,20068,"Militant·e·s féministes et LGBTQIA+",0
"Mayy_aaa",2022-08-17 18:44:28,50148,"Militant·e·s féministes et LGBTQIA+",0
"likeapumpkiin",2022-08-17 18:47:54,50147,"Militant·e·s féministes et LGBTQIA+",0
"Whitewolfsvd",2022-08-17 18:48:27,2615,"Militant·e·s féministes et LGBTQIA+",0
"Scarlet_Gaelle_",2022-08-17 18:48:49,16164,"Militant·e·s féministes et LGBTQIA+",0
"MashaKitsune",2022-08-17 18:49:27,44950,"Militant·e·s féministes et LGBTQIA+",0
"JuriXtl",2022-08-17 18:52:36,50143,"Militant·e·s féministes et LGBTQIA+",0
"finespere",2022-08-17 18:53:32,50142,"Militant·e·s féministes et LGBTQIA+",0
"factoseptik",2022-08-17 18:55:09,50141,"Militant·e·s féministes et LGBTQIA+",0
"RashBandicootz",2022-08-17 18:56:48,2142,"Militant·e·s féministes et LGBTQIA+",0
"LostmemoryCoco",2022-08-17 18:57:30,36927,"Militant·e·s féministes et LGBTQIA+",0
"Tikoklakour",2022-08-17 18:59:45,49235,"Militant·e·s féministes et LGBTQIA+",0
"lumieremorte_",2022-08-17 19:01:04,50137,"Militant·e·s féministes et LGBTQIA+",0
"BananaLicorne",2022-08-17 19:02:12,50136,"Militant·e·s féministes et LGBTQIA+",0
"LaetiNekoEnte",2022-08-17 19:04:16,12936,"Militant·e·s féministes et LGBTQIA+",0
"Doudouilledo",2022-08-17 19:05:30,4147,"Militant·e·s féministes et LGBTQIA+",0
"anonycam6",2022-08-17 19:06:41,27068,"Centre",0
"ChrstphSln",2022-08-17 19:08:12,50132,"Militant·e·s féministes et LGBTQIA+",0
"ozmanalyse",2022-08-17 19:10:53,242,"Militant·e·s féministes et LGBTQIA+",0
"Le_lombric_fou6",2022-08-17 19:11:55,41627,"Néoconservateurs",1
"carrie_bouh",2022-08-17 19:15:05,21337,"Militant·e·s féministes et LGBTQIA+",0
"lea_lpx",2022-08-17 19:20:12,13397,"Centre",0
"Kellysh_pv",2022-08-17 19:20:35,1122,"Militant·e·s féministes et LGBTQIA+",0
"Liam_K08",2022-08-17 19:22:32,50127,"Militant·e·s féministes et LGBTQIA+",0
"LouTheSceptic",2022-08-17 19:23:14,21684,"Militant·e·s féministes et LGBTQIA+",0
"RPGsquare06",2022-08-17 19:25:49,13331,"Militant·e·s féministes et LGBTQIA+",5
